age,income,employment_type,credit_score,loan_amount,existing_emi,loan_term,years_of_experience,marital_status,education,dependents,debt_to_income,loan_to_income,emi_to_income,default
59,82080,Salaried,802.0,71313,3618.0,60,14.0,Single,High School,1,0.5289,0.8688,0.5289,0
49,19574,Unemployed,659.0,86506,236.0,12,0.0,Single,High School,0,0.1447,4.4194,0.1447,0
35,74226,Self-Employed,598.0,282780,768.0,36,5.0,Married,Master,2,0.1242,3.8097,0.1242,0
63,40640,Salaried,554.0,163259,941.0,120,7.0,Married,Bachelor,2,0.2779,4.0172,0.2779,0
28,80582,Salaried,744.0,321772,825.0,24,0.0,Married,Master,1,0.1229,3.9931,0.1229,0
41,71600,Salaried,666.0,198413,454.0,24,9.0,Single,Bachelor,1,0.0761,2.7711,0.0761,0
59,88268,Business,681.0,320898,764.0,60,9.0,Married,Bachelor,3,0.1039,3.6355,0.1039,0
39,45721,Self-Employed,726.0,159550,965.0,24,4.0,Married,Master,1,0.2533,3.4896,0.2533,0
43,39720,Salaried,598.0,192964,903.0,84,11.0,Single,Bachelor,2,0.2728,4.8581,0.2728,0
31,108763,Business,681.0,62194,3606.0,84,3.0,Single,Bachelor,1,0.3979,0.5718,0.3979,0
31,52060,Self-Employed,534.0,168046,2511.0,84,10.0,Married,Bachelor,1,0.5788,3.2279,0.5788,0
44,17219,Salaried,774.0,13556,784.0,12,8.0,Widowed,Bachelor,0,0.5464,0.7873,0.5464,0
56,69431,Salaried,582.0,300877,1239.0,48,9.0,Married,Bachelor,2,0.2141,4.3335,0.2141,0
60,60224,Business,688.0,89307,533.0,84,6.0,Single,High School,0,0.1062,1.4829,0.1062,0
44,43216,Salaried,467.0,78286,2081.0,84,1.0,Single,Bachelor,1,0.5778,1.8115,0.5778,0
23,146280,Business,757.0,184393,4817.0,12,1.0,Divorced,High School,1,0.3952,1.2605,0.3952,0
42,31393,Salaried,556.0,98165,929.0,48,4.0,Single,High School,4,0.3551,3.127,0.3551,0
22,84849,Salaried,632.0,366681,2235.0,48,5.0,Married,Bachelor,5,0.3161,4.3216,0.3161,0
44,102172,Business,759.0,211983,1741.0,48,9.0,Married,High School,3,0.2045,2.0748,0.2045,0
